,property_type,price,price_bin,location,city,baths,area_sqft,bedrooms,year,month
1,House,13000000,Medium,Gadap Town,Karachi,4,2613.61,4,2019,7
2,House,91500000,Very High,DHA Defence,Karachi,6,6534.02,5,2019,7
3,Flat,22500000,Very High,DHA Defence,Karachi,3,2178.01,3,2019,7
4,House,45000000,Very High,Gulistan-e-Jauhar,Karachi,4,2885.86,4,2019,7
5,House,72500000,Very High,North Nazimabad,Karachi,8,4900.52,8,2019,7
6,Flat,48000000,Very High,Clifton,Karachi,5,2804.19,3,2019,7
7,Flat,50000000,Very High,Clifton,Karachi,5,2804.19,3,2019,7
10,Flat,39000000,Very High,Gulshan-e-Iqbal Town,Karachi,5,2668.06,4,2019,7
11,Flat,7800000,High,DHA Defence,Karachi,2,1197.9,3,2019,7
13,Flat,22500000,Very High,DHA Defence,Karachi,4,2205.23,3,2019,7
14,Flat,13000000,High,Gulshan-e-Iqbal Town,Karachi,4,2423.03,3,2019,7
15,Flat,18000000,Very High,Gulshan-e-Iqbal Town,Karachi,2,1987.43,3,2019,7
16,Flat,3650000,Low,Gadap Town,Karachi,2,898.43,2,2019,7
18,Flat,4050000,Low,Gulshan-e-Iqbal Town,Karachi,2,898.43,2,2019,7
22,Flat,3700000,Low,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
23,Flat,6000000,Medium,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
24,House,16000000,Medium,Gulistan-e-Jauhar,Karachi,5,1905.76,5,2019,7
25,Flat,2600000,Low,Gulistan-e-Jauhar,Karachi,1,598.95,1,2019,7
26,Flat,6000000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
32,House,16500000,High,Gulistan-e-Jauhar,Karachi,6,1824.08,6,2019,7
34,Flat,2500000,Low,Gulistan-e-Jauhar,Karachi,1,544.5,1,2019,7
35,Flat,5200000,Medium,Gulistan-e-Jauhar,Karachi,2,1143.45,2,2019,7
36,Flat,17500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2178.01,3,2019,7
38,Flat,4800000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1143.45,2,2019,7
39,House,185000000,Very High,DHA Defence,Karachi,7,10890.04,7,2019,7
41,House,150000000,Very High,DHA Defence,Karachi,3,8712.03,2,2019,7
43,House,12000000,Medium,Gadap Town,Karachi,3,2613.61,3,2019,7
44,House,20000000,High,Scheme 33,Karachi,3,2178.01,3,2019,7
47,House,4000000,Low,Gadap Town,Karachi,3,925.65,3,2019,7
50,House,38500000,Very High,North Nazimabad,Karachi,3,4356.02,3,2019,7
51,Flat,6850000,Medium,Gadap Town,Karachi,3,1687.96,3,2019,7
54,Flat,7500000,Medium,Gulshan-e-Iqbal Town,Karachi,3,1470.16,3,2019,7
55,Flat,6000000,Medium,North Nazimabad,Karachi,2,1089.0,2,2019,7
56,Flat,10000000,High,Gulistan-e-Jauhar,Karachi,3,1633.51,3,2019,7
58,Flat,26000000,Very High,Clifton,Karachi,3,2232.46,3,2019,7
60,House,87000000,Very High,DHA Defence,Karachi,6,5445.02,5,2019,7
61,House,60000000,Very High,Federal B Area,Karachi,8,5445.02,8,2019,7
65,Flat,3520000,Low,Gadap Town,Karachi,2,980.1,2,2019,7
68,Flat,7900000,High,Gadap Town,Karachi,3,2150.78,3,2019,7
70,Flat,9000000,High,DHA Defence,Karachi,2,1279.58,2,2019,7
73,Flat,16000000,Very High,DHA Defence,Karachi,2,1089.0,2,2019,7
74,Flat,9500000,High,Gulshan-e-Iqbal Town,Karachi,3,1442.93,3,2019,7
75,Flat,20000000,Very High,DHA Defence,Karachi,3,1742.41,3,2019,7
76,House,12000000,Medium,Gadap Town,Karachi,3,1306.8,2,2019,7
77,House,130000000,Very High,DHA Defence,Karachi,5,5445.02,5,2019,7
78,Flat,7900000,High,Gadap Town,Karachi,3,2150.78,3,2019,7
79,House,160000000,Very High,DHA Defence,Karachi,7,11979.04,5,2019,7
80,Flat,31000000,Very High,Scheme 33,Karachi,5,3021.99,5,2019,7
81,Flat,4500000,Low,Gulistan-e-Jauhar,Karachi,2,816.75,2,2019,7
95,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,1034.55,2,2019,7
96,House,30000000,High,North Karachi,Karachi,3,2286.91,3,2019,7
98,House,32500000,High,Gulistan-e-Jauhar,Karachi,6,2613.61,6,2019,7
100,Flat,4000000,Low,North Nazimabad,Karachi,2,871.2,2,2019,7
101,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,789.53,2,2019,7
102,House,30000000,High,DHA Defence,Karachi,3,1197.9,2,2019,7
103,Flat,21500000,Very High,Gulistan-e-Jauhar,Karachi,4,3375.91,4,2019,7
104,House,31000000,High,North Nazimabad,Karachi,3,2940.31,3,2019,7
108,House,26000000,High,Scheme 33,Karachi,3,4356.02,4,2019,7
109,Flat,15000000,Very High,Gulshan-e-Iqbal Town,Karachi,2,1361.25,2,2019,7
111,House,75000000,Very High,Clifton,Karachi,4,3267.01,4,2019,7
112,House,21000000,High,Scheme 33,Karachi,6,2613.61,6,2019,7
113,House,8300000,Low,Gadap Town,Karachi,3,1306.8,3,2019,7
114,House,18000000,High,Gadap Town,Karachi,5,2531.93,4,2019,7
115,Flat,9500000,High,Gulshan-e-Iqbal Town,Karachi,3,1524.61,3,2019,7
116,Flat,12000000,High,Gulshan-e-Iqbal Town,Karachi,3,1524.61,2,2019,7
120,Flat,4350000,Low,Federal B Area,Karachi,1,789.53,2,2019,7
123,House,17500000,High,Gulshan-e-Iqbal Town,Karachi,4,1633.51,4,2019,7
124,Flat,2500000,Low,North Nazimabad,Karachi,1,490.05,1,2019,7
125,Flat,18000000,Very High,DHA Defence,Karachi,3,2178.01,3,2019,7
127,Flat,2500000,Low,North Nazimabad,Karachi,1,490.05,1,2019,7
129,House,30000000,High,Scheme 33,Karachi,4,4356.02,4,2019,7
131,Flat,9000000,High,Gulshan-e-Iqbal Town,Karachi,3,1388.48,3,2019,7
133,House,7500000,Low,Gadap Town,Karachi,2,1306.8,2,2019,7
134,House,18000000,High,Gadap Town,Karachi,5,2722.51,4,2019,7
135,Flat,4500000,Low,Federal B Area,Karachi,1,816.75,2,2019,7
136,House,12000000,Medium,Gulistan-e-Jauhar,Karachi,3,1742.41,3,2019,7
137,Flat,36000000,Very High,Clifton,Karachi,3,2286.91,3,2019,7
141,Flat,9000000,High,North Nazimabad,Karachi,2,1279.58,2,2019,7
143,Flat,3000000,Low,Federal B Area,Karachi,1,762.3,2,2019,7
144,Flat,8000000,High,DHA Defence,Karachi,2,1089.0,2,2019,7
145,House,55000000,Very High,DHA Defence,Karachi,6,3267.01,4,2019,7
147,House,150000000,Very High,North Nazimabad,Karachi,8,9801.04,6,2019,7
148,Flat,9900000,High,Gulshan-e-Iqbal Town,Karachi,3,1878.53,3,2019,7
151,House,42500000,Very High,Gulistan-e-Jauhar,Karachi,5,2885.86,5,2019,7
155,House,16500000,High,North Karachi,Karachi,4,1306.8,4,2019,7
157,Flat,3300000,Low,Gulshan-e-Iqbal Town,Karachi,2,735.08,2,2019,7
158,Flat,19000000,Very High,DHA Defence,Karachi,4,2123.56,4,2019,7
159,House,25000000,High,Gadap Town,Karachi,5,2940.31,4,2019,7
161,Flat,5500000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
164,Flat,12500000,High,Gulshan-e-Iqbal Town,Karachi,4,1932.98,4,2019,7
165,House,18000000,High,Gulistan-e-Jauhar,Karachi,5,1306.8,4,2019,7
166,Flat,17000000,Very High,Clifton,Karachi,3,1742.41,3,2019,7
167,Flat,11500000,High,DHA Defence,Karachi,2,1143.45,2,2019,7
169,Flat,13500000,Very High,Clifton,Karachi,3,1987.43,3,2019,7
171,House,13000000,Medium,Gulistan-e-Jauhar,Karachi,2,1306.8,3,2019,7
172,Flat,5500000,Medium,North Nazimabad,Karachi,2,980.1,2,2019,7
173,Flat,2700000,Low,Federal B Area,Karachi,1,490.05,1,2019,7
174,House,8000000,Low,Scheme 33,Karachi,2,1306.8,1,2019,7
175,House,30000000,High,Gulistan-e-Jauhar,Karachi,3,2613.61,4,2019,7
177,Flat,13000000,High,DHA Defence,Karachi,3,1197.9,3,2019,7
179,Flat,5000000,Medium,North Nazimabad,Karachi,2,1143.45,2,2019,7
180,House,12700000,Medium,Scheme 33,Karachi,3,1306.8,3,2019,7
181,House,25000000,High,Gulistan-e-Jauhar,Karachi,2,1524.61,2,2019,7
182,House,13000000,Medium,North Karachi,Karachi,2,1306.8,3,2019,7
184,Flat,11500000,High,DHA Defence,Karachi,2,1089.0,2,2019,7
185,House,17000000,High,Federal B Area,Karachi,3,1306.8,4,2019,7
186,House,7500000,Low,Scheme 33,Karachi,3,1306.8,2,2019,7
189,Flat,6000000,Medium,DHA Defence,Karachi,2,653.4,2,2019,7
191,House,11000000,Medium,Federal B Area,Karachi,2,1306.8,1,2019,7
192,Flat,1800000,Low,North Karachi,Karachi,1,544.5,1,2019,7
193,Flat,9500000,High,Gulshan-e-Iqbal Town,Karachi,3,1824.08,3,2019,7
194,House,500000000,Very High,DHA Defence,Karachi,7,21780.08,6,2019,7
195,House,39500000,Very High,North Nazimabad,Karachi,7,2776.96,7,2019,7
196,Flat,13500000,Very High,DHA Defence,Karachi,3,1442.93,3,2019,7
223,Flat,47000000,Very High,Clifton,Karachi,5,3267.01,4,2019,7
224,Flat,7500000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
227,Flat,12500000,High,DHA Defence,Karachi,2,1143.45,2,2019,7
228,House,140000000,Very High,DHA Defence,Karachi,6,10890.04,6,2019,7
229,Flat,11000000,High,DHA Defence,Karachi,3,1334.03,2,2019,7
230,House,10000000,Medium,Gulistan-e-Jauhar,Karachi,3,1306.8,4,2019,7
231,House,7500000,Low,Scheme 33,Karachi,3,1306.8,2,2019,7
232,Flat,8200000,High,Gulshan-e-Iqbal Town,Karachi,1,1143.45,2,2019,7
233,Flat,3300000,Low,Gadap Town,Karachi,2,898.43,2,2019,7
235,House,11500000,Medium,Scheme 33,Karachi,2,1306.8,2,2019,7
237,Flat,4800000,Medium,Korangi,Karachi,2,898.43,2,2019,7
238,Flat,6200000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1143.45,2,2019,7
240,Flat,3600000,Low,North Nazimabad,Karachi,2,1089.0,2,2019,7
241,Flat,7500000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1442.93,2,2019,7
243,House,55000000,Very High,Gulistan-e-Jauhar,Karachi,7,4356.02,7,2019,7
244,House,45000000,Very High,North Karachi,Karachi,5,4356.02,6,2019,7
245,Flat,29000000,Very High,Clifton,Karachi,3,3620.94,3,2019,7
246,Flat,8300000,High,Gulshan-e-Iqbal Town,Karachi,2,1334.03,2,2019,7
247,Flat,13000000,High,Korangi,Karachi,2,1279.58,3,2019,7
254,Flat,4000000,Low,Gulistan-e-Jauhar,Karachi,2,980.1,2,2019,7
256,House,98000000,Very High,North Nazimabad,Karachi,8,7078.53,8,2019,7
257,Flat,6500000,Medium,Gulistan-e-Jauhar,Karachi,2,1279.58,2,2019,7
258,House,98000000,Very High,North Nazimabad,Karachi,8,7078.53,8,2019,7
259,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,898.43,2,2019,7
260,House,75000000,Very High,Gulshan-e-Iqbal Town,Karachi,6,6534.02,8,2019,7
261,Flat,9000000,High,DHA Defence,Karachi,4,1334.03,3,2019,7
264,Flat,35000000,Very High,Gulshan-e-Iqbal Town,Karachi,4,2531.93,4,2019,7
266,Flat,11000000,High,Gulshan-e-Iqbal Town,Karachi,3,1687.96,3,2019,7
267,House,12000000,Medium,Scheme 33,Karachi,5,1306.8,4,2019,7
268,House,85000000,Very High,DHA Defence,Karachi,6,5445.02,5,2019,7
269,House,57500000,Very High,DHA Defence,Karachi,5,3267.01,4,2019,7
270,House,130000000,Very High,DHA Defence,Karachi,10,8712.03,9,2019,7
271,House,9500000,Low,Gadap Town,Karachi,4,1306.8,4,2019,7
272,House,33000000,Very High,North Nazimabad,Karachi,7,3049.21,6,2019,7
274,House,25000000,High,Federal B Area,Karachi,2,1306.8,4,2019,7
275,Flat,2800000,Low,North Nazimabad,Karachi,2,871.2,2,2019,7
276,House,42000000,Very High,DHA Defence,Karachi,5,2831.41,4,2019,7
277,House,55000000,Very High,DHA Defence,Karachi,5,2722.51,4,2019,7
278,House,11500000,Medium,Gadap Town,Karachi,3,1306.8,2,2019,7
279,House,52500000,Very High,Gulistan-e-Jauhar,Karachi,4,6534.02,4,2019,7
281,House,52500000,Very High,Gulistan-e-Jauhar,Karachi,4,6534.02,4,2019,7
282,House,7800000,Low,Gadap Town,Karachi,3,1742.41,3,2019,7
283,House,85900000,Very High,Clifton,Karachi,4,3811.51,4,2019,7
285,Flat,4800000,Medium,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
288,House,125000000,Very High,DHA Defence,Karachi,6,5445.02,5,2019,7
289,Flat,15000000,Very High,Clifton,Karachi,3,1824.08,3,2019,7
291,Flat,12500000,High,North Karachi,Karachi,4,1987.43,4,2019,7
292,Flat,15500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2178.01,3,2019,7
293,House,6000000,Low,Gadap Town,Karachi,2,1306.8,2,2019,7
295,Flat,8500000,High,DHA Defence,Karachi,3,1089.0,2,2019,7
297,Flat,6000000,Medium,Scheme 33,Karachi,2,1279.58,2,2019,7
299,Flat,18500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,1932.98,3,2019,7
300,Flat,7900000,High,DHA Defence,Karachi,3,1524.61,3,2019,7
301,House,29000000,High,Gulistan-e-Jauhar,Karachi,4,2450.26,4,2019,7
302,Flat,6500000,Medium,North Karachi,Karachi,2,1089.0,3,2019,7
304,Flat,4500000,Low,Federal B Area,Karachi,2,1089.0,2,2019,7
306,House,41500000,Very High,Gulistan-e-Jauhar,Karachi,6,4356.02,6,2019,7
308,House,12500000,Medium,Gadap Town,Karachi,4,2178.01,4,2019,7
309,House,5500000,Low,Korangi,Karachi,2,871.2,2,2019,7
310,House,17000000,High,Gulistan-e-Jauhar,Karachi,4,1306.8,4,2019,7
311,Flat,9000000,High,Clifton,Karachi,2,1306.8,2,2019,7
312,Flat,32500000,Very High,Clifton,Karachi,3,2178.01,3,2019,7
313,Flat,2800000,Low,Gadap Town,Karachi,2,871.2,2,2019,7
314,House,19500000,High,Gadap Town,Karachi,6,2613.61,6,2019,7
315,House,75000000,Very High,DHA Defence,Karachi,3,6534.02,3,2019,7
317,House,20000000,High,Gulistan-e-Jauhar,Karachi,5,2178.01,5,2019,7
318,House,18000000,High,North Nazimabad,Karachi,2,1306.8,2,2019,7
320,Flat,10500000,High,Gulshan-e-Iqbal Town,Karachi,3,1633.51,3,2019,7
326,Flat,8500000,High,DHA Defence,Karachi,2,1197.9,2,2019,7
328,House,25000000,High,Gulshan-e-Iqbal Town,Karachi,3,2314.13,3,2019,7
329,House,12500000,Medium,Scheme 33,Karachi,4,1306.8,3,2019,7
330,Flat,6500000,Medium,North Karachi,Karachi,2,1089.0,2,2019,7
331,House,75000000,Very High,Gulistan-e-Jauhar,Karachi,8,4356.02,6,2019,7
334,House,73000000,Very High,DHA Defence,Karachi,4,5445.02,4,2019,7
335,Flat,8800000,High,Gulshan-e-Iqbal Town,Karachi,2,1143.45,2,2019,7
336,House,5900000,Low,Gadap Town,Karachi,3,1361.25,2,2019,7
337,Flat,5700000,Medium,Gulshan-e-Iqbal Town,Karachi,2,653.4,2,2019,7
338,House,16000000,Medium,North Karachi,Karachi,2,1306.8,4,2019,7
339,House,18000000,High,Gulistan-e-Jauhar,Karachi,2,1306.8,2,2019,7
340,Flat,17500000,Very High,Clifton,Karachi,3,2069.11,3,2019,7
342,House,12000000,Medium,Gadap Town,Karachi,2,2178.01,3,2019,7
343,House,21500000,High,Scheme 33,Karachi,7,2722.51,8,2019,7
371,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,898.43,2,2019,7
374,House,7500000,Low,Gulistan-e-Jauhar,Karachi,3,1306.8,2,2019,7
375,Flat,5200000,Medium,Scheme 33,Karachi,2,1089.0,2,2019,7
377,House,217500000,Very High,DHA Defence,Karachi,8,10890.04,7,2019,7
378,House,22000000,High,North Nazimabad,Karachi,4,2178.01,6,2019,7
379,Flat,32500000,Very High,KDA Scheme 1,Karachi,3,2178.01,3,2019,7
381,Flat,20000000,Very High,Clifton,Karachi,3,2178.01,3,2019,7
382,House,13000000,Medium,Gulistan-e-Jauhar,Karachi,3,1415.71,3,2019,7
384,Flat,6500000,Medium,North Nazimabad,Karachi,2,843.98,2,2019,7
385,Flat,6500000,Medium,Gulistan-e-Jauhar,Karachi,2,843.98,2,2019,7
387,House,25500000,High,Gulistan-e-Jauhar,Karachi,3,2613.61,3,2019,7
389,Flat,2600000,Low,Gulistan-e-Jauhar,Karachi,1,544.5,1,2019,7
390,House,18000000,High,Gulshan-e-Iqbal Town,Karachi,4,1306.8,4,2019,7
391,House,13000000,Medium,Scheme 33,Karachi,3,1306.8,3,2019,7
392,House,75000000,Very High,Gulshan-e-Iqbal Town,Karachi,7,6534.02,11,2019,7
393,Flat,3000000,Low,Gadap Town,Karachi,2,871.2,2,2019,7
394,Flat,27000000,Very High,DHA Defence,Karachi,6,2286.91,4,2019,7
395,House,27900000,High,Gulshan-e-Iqbal Town,Karachi,4,2722.51,4,2019,7
396,Flat,8500000,High,Gulistan-e-Jauhar,Karachi,3,1633.51,4,2019,7
399,House,14000000,Medium,Gadap Town,Karachi,4,2613.61,3,2019,7
400,House,92500000,Very High,DHA Defence,Karachi,7,4927.74,6,2019,7
401,Flat,6500000,Medium,Gadap Town,Karachi,2,1197.9,2,2019,7
402,Flat,7000000,Medium,Gulistan-e-Jauhar,Karachi,2,1279.58,2,2019,7
403,Flat,10500000,High,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
404,House,31000000,High,North Karachi,Karachi,3,2613.61,3,2019,7
405,House,37500000,Very High,Gulshan-e-Iqbal Town,Karachi,6,2613.61,5,2019,7
406,House,50000000,Very High,Scheme 33,Karachi,6,4356.02,6,2019,7
408,Flat,12500000,High,DHA Defence,Karachi,4,1279.58,3,2019,7
412,House,42000000,Very High,Gulshan-e-Iqbal Town,Karachi,6,2831.41,6,2019,7
413,House,27500000,High,North Karachi,Karachi,6,2613.61,6,2019,7
414,House,5900000,Low,Gadap Town,Karachi,3,1306.8,2,2019,7
416,House,4500000,Low,Gadap Town,Karachi,3,925.65,2,2019,7
419,House,12000000,Medium,Scheme 33,Karachi,5,1306.8,4,2019,7
421,Flat,4500000,Low,North Nazimabad,Karachi,2,980.1,2,2019,7
422,Flat,8500000,High,Gulshan-e-Iqbal Town,Karachi,3,1579.06,3,2019,7
423,Flat,17500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2178.01,3,2019,7
426,House,22500000,High,Gulistan-e-Jauhar,Karachi,2,2178.01,4,2019,7
427,House,38500000,Very High,Federal B Area,Karachi,4,4356.02,4,2019,7
428,Flat,3850000,Low,North Karachi,Karachi,2,1034.55,2,2019,7
429,House,65000000,Very High,DHA Defence,Karachi,6,4628.27,6,2019,7
430,House,30000000,High,North Nazimabad,Karachi,5,2885.86,5,2019,7
431,House,12000000,Medium,Gulistan-e-Jauhar,Karachi,5,1306.8,4,2019,7
433,Flat,15500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2613.61,3,2019,7
434,Flat,15500000,Very High,Clifton,Karachi,3,2232.46,3,2019,7
436,House,62500000,Very High,North Nazimabad,Karachi,10,4900.52,9,2019,7
438,Flat,7500000,Medium,Gulshan-e-Iqbal Town,Karachi,3,1197.9,2,2019,7
440,Flat,8600000,High,Gulistan-e-Jauhar,Karachi,2,1197.9,2,2019,7
441,Flat,8400000,High,Gulshan-e-Iqbal Town,Karachi,2,1306.8,2,2019,7
442,House,95000000,Very High,DHA Defence,Karachi,5,5989.52,5,2019,7
443,House,30000000,High,North Nazimabad,Karachi,5,2613.61,4,2019,7
444,House,10000000,Medium,Scheme 33,Karachi,3,1388.48,3,2019,7
445,House,10500000,Medium,North Karachi,Karachi,2,1306.8,2,2019,7
450,House,35000000,Very High,DHA Defence,Karachi,5,1089.0,3,2019,7
451,Flat,14500000,Very High,Gulshan-e-Iqbal Town,Karachi,3,2531.93,3,2019,7
452,Flat,8500000,High,Gulshan-e-Iqbal Town,Karachi,2,1197.9,2,2019,7
453,House,110000000,Very High,DHA Defence,Karachi,6,5445.02,5,2019,7
454,House,56000000,Very High,Gulshan-e-Iqbal Town,Karachi,10,4356.02,11,2019,7
455,House,25000000,High,Gadap Town,Karachi,7,4356.02,6,2019,7
456,Flat,11500000,High,Gulistan-e-Jauhar,Karachi,3,1579.06,3,2019,7
458,House,3200000,Low,Gadap Town,Karachi,2,925.65,3,2019,7
459,House,14500000,Medium,Gadap Town,Karachi,3,2178.01,3,2019,7
462,House,65000000,Very High,Scheme 33,Karachi,8,8167.53,6,2019,7
464,House,25000000,High,Gadap Town,Karachi,4,4356.02,4,2019,7
466,House,60500000,Very High,North Nazimabad,Karachi,3,6534.02,4,2019,7
467,House,13500000,Medium,Gulistan-e-Jauhar,Karachi,3,1306.8,3,2019,7
469,House,31000000,High,Gulistan-e-Jauhar,Karachi,3,2613.61,3,2019,7
470,Flat,4900000,Medium,Gulistan-e-Jauhar,Karachi,2,952.88,2,2019,7
472,Flat,2500000,Low,Gulistan-e-Jauhar,Karachi,1,435.6,1,2019,7
475,House,53500000,Very High,DHA Defence,Karachi,5,1633.51,5,2019,7
476,Flat,11000000,High,Gulistan-e-Jauhar,Karachi,5,2178.01,4,2019,7
478,Flat,2000000,Low,North Karachi,Karachi,1,490.05,1,2019,7
479,House,18000000,High,Gulshan-e-Iqbal Town,Karachi,2,1306.8,2,2019,7
509,Flat,42500000,Very High,DHA Defence,Karachi,4,2913.09,3,2019,7
510,Flat,7500000,Medium,DHA Defence,Karachi,2,871.2,2,2019,7
511,Flat,25000000,Very High,Clifton,Karachi,3,1932.98,3,2019,7
513,Flat,22500000,Very High,DHA Defence,Karachi,3,1824.08,3,2019,7
514,Flat,5200000,Medium,Gulistan-e-Jauhar,Karachi,2,898.43,2,2019,7
517,Flat,9500000,High,Gulistan-e-Jauhar,Karachi,2,1579.06,2,2019,7
518,Flat,12000000,High,Federal B Area,Karachi,3,1878.53,3,2019,7
519,House,63500000,Very High,DHA Defence,Karachi,5,3620.94,4,2019,7
520,House,60000000,Very High,DHA Defence,Karachi,5,3267.01,4,2019,7
521,Flat,12500000,High,Gulshan-e-Iqbal Town,Karachi,3,1687.96,3,2019,7
524,House,100000000,Very High,DHA Defence,Karachi,7,5445.02,6,2019,7
525,House,124900000,Very High,DHA Defence,Karachi,5,5445.02,5,2019,7
528,Flat,3500000,Low,Gulistan-e-Jauhar,Karachi,2,680.63,2,2019,7
530,Flat,4900000,Medium,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
531,House,13000000,Medium,Gulistan-e-Jauhar,Karachi,5,1279.58,4,2019,7
532,Flat,10000000,High,DHA Defence,Karachi,2,1225.13,2,2019,7
533,House,17500000,High,Gulshan-e-Iqbal Town,Karachi,3,1306.8,3,2019,7
534,House,22000000,High,Scheme 33,Karachi,4,3729.84,6,2019,7
536,House,14000000,Medium,North Nazimabad,Karachi,2,2178.01,3,2019,7
537,Flat,3700000,Low,Gulistan-e-Jauhar,Karachi,2,1197.9,2,2019,7
540,House,127000000,Very High,DHA Defence,Karachi,6,5445.02,6,2019,7
542,House,42500000,Very High,Gulistan-e-Jauhar,Karachi,6,2885.86,6,2019,7
546,Flat,8500000,High,North Nazimabad,Karachi,2,1197.9,3,2019,7
547,House,23500000,High,Federal B Area,Karachi,4,2613.61,3,2019,7
548,House,20000000,High,North Karachi,Karachi,4,1361.25,4,2019,7
565,Flat,6300000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1089.0,2,2019,7
566,House,150000000,Very High,Gulshan-e-Iqbal Town,Karachi,5,8167.53,4,2019,7
567,Flat,6500000,Medium,North Karachi,Karachi,2,1197.9,2,2019,7
569,House,56000000,Very High,Federal B Area,Karachi,6,4356.02,6,2019,7
571,House,28500000,High,Gulistan-e-Jauhar,Karachi,6,2613.61,6,2019,7
572,Flat,6500000,Medium,Gulshan-e-Iqbal Town,Karachi,2,1034.55,2,2019,7
574,House,90000000,Very High,Gulshan-e-Iqbal Town,Karachi,7,4356.02,7,2019,7
575,House,62500000,Very High,DHA Defence,Karachi,6,3267.01,5,2019,7
576,House,75000000,Very High,DHA Defence,Karachi,6,5445.02,6,2019,7
578,Flat,3300000,Low,Gadap Town,Karachi,2,735.08,2,2019,7
580,House,21000000,High,Gulistan-e-Jauhar,Karachi,5,1633.51,5,2019,7
581,House,15000000,Medium,Scheme 33,Karachi,5,1796.86,4,2019,7
582,House,30000000,High,Gulshan-e-Iqbal Town,Karachi,4,1742.41,4,2019,7
583,Flat,15000000,Very High,Gulshan-e-Iqbal Town,Karachi,2,1579.06,3,2019,7
584,House,8000000,Low,Gadap Town,Karachi,3,1551.83,2,2019,7
585,House,22000000,High,Gulistan-e-Jauhar,Karachi,6,1960.21,6,2019,7
587,House,10500000,Medium,Scheme 33,Karachi,3,1306.8,3,2019,7
588,House,8500000,Low,Scheme 33,Karachi,3,1306.8,2,2019,7
591,Flat,27000000,Very High,Clifton,Karachi,3,2668.06,3,2019,7
596,House,9000000,Low,Korangi,Karachi,2,1442.93,3,2019,7
597,House,30000000,High,DHA Defence,Karachi,4,1089.0,3,2019,7
598,House,13000000,Medium,North Karachi,Karachi,4,1306.8,4,2019,7
599,Flat,9500000,High,DHA Defence,Karachi,3,1388.48,3,2019,7
600,House,122000000,Very High,Gulistan-e-Jauhar,Karachi,7,5445.02,7,2019,7
601,House,15000000,Medium,Federal B Area,Karachi,4,1306.8,4,2019,7
602,House,75000000,Very High,Clifton,Karachi,4,3811.51,4,2019,7
603,Flat,4650000,Medium,Korangi,Karachi,3,1306.8,2,2019,7
604,Flat,4800000,Medium,Gulshan-e-Iqbal Town,Karachi,1,925.65,1,2019,7
607,House,31000000,High,North Karachi,Karachi,3,3130.89,3,2019,7
609,Flat,5200000,Medium,North Karachi,Karachi,2,1034.55,2,2019,7
611,House,82500000,Very High,Korangi,Karachi,8,6534.02,8,2019,7
612,House,5500000,Low,Gadap Town,Karachi,3,1742.41,3,2019,7
613,Flat,17000000,Very High,DHA Defence,Karachi,3,2178.01,3,2019,7
614,House,55000000,Very High,Scheme 33,Karachi,6,3702.61,6,2019,7
615,Flat,2650000,Low,North Nazimabad,Karachi,1,707.85,1,2019,7
618,Flat,3800000,Low,Federal B Area,Karachi,1,898.43,2,2019,7
619,Flat,8200000,High,DHA Defence,Karachi,2,1089.0,2,2019,7
620,House,17000000,High,Korangi,Karachi,4,2613.61,4,2019,7
621,Flat,5000000,Medium,Gulistan-e-Jauhar,Karachi,2,1089.0,2,2019,7
622,Flat,3300000,Low,North Karachi,Karachi,2,871.2,2,2019,7
626,House,207500000,Very High,DHA Defence,Karachi,9,10890.04,11,2019,7
628,Flat,8500000,High,Gulshan-e-Iqbal Town,Karachi,3,1442.93,3,2019,7
629,House,41000000,Very High,Gulshan-e-Iqbal Town,Karachi,5,3620.94,5,2019,7
631,Flat,5200000,Medium,North Karachi,Karachi,2,1143.45,2,2019,7
632,House,13000000,Medium,Federal B Area,Karachi,4,1306.8,4,2019,7
636,Flat,6200000,Medium,Scheme 33,Karachi,2,898.43,2,2019,7
637,Flat,12000000,High,Gulshan-e-Iqbal Town,Karachi,3,1279.58,2,2019,7
640,House,7500000,Low,Gadap Town,Karachi,2,1306.8,2,2019,7
